Date,HomeTeam,AwayTeam,B365>2.5,B365<2.5
13/08/2021,M'gladbach,Bayern Munich,1.4,3.0
14/08/2021,Augsburg,Hoffenheim,1.61,2.3
14/08/2021,Bielefeld,Freiburg,2.05,1.88
14/08/2021,Stuttgart,Greuther Furth,1.61,2.3
14/08/2021,Union Berlin,Leverkusen,1.9,1.9
14/08/2021,Wolfsburg,Bochum,1.57,2.37
14/08/2021,Dortmund,Ein Frankfurt,1.36,3.2
15/08/2021,Mainz,RB Leipzig,1.53,2.5
15/08/2021,FC Koln,Hertha,2.0,1.93
20/08/2021,RB Leipzig,Stuttgart,1.53,2.5
21/08/2021,Bochum,Mainz,1.8,2.0
21/08/2021,Ein Frankfurt,Augsburg,1.53,2.5
21/08/2021,Freiburg,Dortmund,1.5,2.62
21/08/2021,Greuther Furth,Bielefeld,2.0,1.8
21/08/2021,Hertha,Wolfsburg,1.8,2.0
21/08/2021,Leverkusen,M'gladbach,1.57,2.37
22/08/2021,Hoffenheim,Union Berlin,1.72,2.1
22/08/2021,Bayern Munich,FC Koln,1.28,3.75
27/08/2021,Dortmund,Hoffenheim,1.3,3.5
28/08/2021,Augsburg,Leverkusen,1.8,2.0
28/08/2021,Bielefeld,Ein Frankfurt,1.8,2.0
28/08/2021,FC Koln,Bochum,1.72,2.1
28/08/2021,Mainz,Greuther Furth,1.72,2.1
28/08/2021,Stuttgart,Freiburg,1.72,2.1
28/08/2021,Bayern Munich,Hertha,1.25,4.0
29/08/2021,Union Berlin,M'gladbach,1.8,2.0
29/08/2021,Wolfsburg,RB Leipzig,1.8,2.0
11/09/2021,Freiburg,FC Koln,1.66,2.2
11/09/2021,Greuther Furth,Wolfsburg,1.61,2.3
11/09/2021,Hoffenheim,Mainz,1.57,2.37
11/09/2021,Leverkusen,Dortmund,1.4,3.0
11/09/2021,Union Berlin,Augsburg,1.91,1.99
11/09/2021,RB Leipzig,Bayern Munich,1.44,2.75
12/09/2021,Ein Frankfurt,Stuttgart,1.5,2.62
12/09/2021,Bochum,Hertha,2.02,1.88
12/09/2021,M'gladbach,Bielefeld,1.66,2.2
