gate_matrix_id,v19_diagnostic_synthesis_id,analysis_input_id,context_bundle_id,match_date,competition,season,home_team,away_team,understat_provider_match_id,fbref_provider_match_id,cross_provider_match_key,gate_id,gate_name,gate_group,gate_status,gate_severity,required_data,available_data,missing_data,blocker_reason,diagnostic_note,safe_output_note,network_calls_enabled,prediction_logic_enabled,betting_logic_enabled,staking_logic_enabled,roi_logic_enabled
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,hard_1x2_control_model_gate,Hard 1X2 Control Model Gate,control,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_xg | away_xg | home_shots | away_shots,home_xg | away_xg,home_shots | away_shots,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,dnb_5_plus_1_readiness_gate,DNB 5+1 Readiness Gate,dnb,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_xg | away_xg | home_possession | away_possession,home_xg | away_xg,home_possession | away_possession,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,away_favorite_degradation_gate,Away Favorite Degradation Gate,favorite_degradation,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,away_xg | away_shots | away_possession,away_xg,away_shots | away_possession,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,cellar_duel_over_lock_gate,Cellar Duel Over Lock Gate,over_under,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_xg | away_xg | home_shots_on_target | away_shots_on_target,home_xg | away_xg,home_shots_on_target | away_shots_on_target,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,tactical_matchup_score_gate,Tactical Matchup Score Gate,tactical,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_progressive_passes | away_progressive_passes | home_progressive_carries | away_progressive_carries,,home_progressive_passes | away_progressive_passes | home_progressive_carries | away_progressive_carries,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,set_piece_xg_ratio_gate,Set Piece xG Ratio Gate,set_piece,DIAGNOSTIC_GATE_REQUIRES_LATER_MODEL_PHASE,info,home_set_piece_xg | away_set_piece_xg,,home_set_piece_xg | away_set_piece_xg,requires_later_model_phase_or_unavailable_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,do_so_fatigue_modifier_gate,DO/SO Fatigue Modifier Gate,fatigue,DIAGNOSTIC_GATE_REQUIRES_LATER_MODEL_PHASE,info,rest_days_home | rest_days_away,,rest_days_home | rest_days_away,requires_later_model_phase_or_unavailable_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,market_movement_timing_gate,Market Movement Timing Gate,market,DIAGNOSTIC_GATE_REQUIRES_LATER_MODEL_PHASE,info,odds_home | odds_draw | odds_away,,odds_home | odds_draw | odds_away,requires_later_model_phase_or_unavailable_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,xg_zone_correction_gate,xG Zone Correction Gate,xg_zone,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_touches_att_pen_area | away_touches_att_pen_area,,home_touches_att_pen_area | away_touches_att_pen_area,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,no_bet_safety_gate,No-Bet Safety Gate,safety,DIAGNOSTIC_GATE_DISABLED_NO_BETTING,safety,,,,betting_output_disabled_by_design,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,chaos_score_gate,Chaos Score Gate,chaos,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_blocks | away_blocks | home_clearances | away_clearances,,home_blocks | away_blocks | home_clearances | away_clearances,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
v19_diagnostic_gate_matrix_preview,v19_diagnostic_synthesis_preview,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,manual_real_match_context_preview,2026-02-14,Serie A,2025/26,Lazio,Atalanta,,,manual-serie-a-2025-26-lazio-atalanta-2026-02-14,underdog_win_score_gate,Underdog Win Score Gate,underdog,DIAGNOSTIC_GATE_BLOCKED_MISSING_DATA,warning,home_xg | away_xg | home_shots | away_shots,home_xg | away_xg,home_shots | away_shots,missing_required_preview_data,Diagnostic gate status only; no production prediction or final market output is generated.,"No betting output, position sizing, units, or financial return tracking is generated.",False,False,False,False,False
