artifact_key,artifact_path,exists
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\real_match_intake_schema\real_match_intake_template.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\real_match_intake_validation\real_match_intake_validation.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\manual_evidence_overlay\manual_evidence_overlay.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\odds_market_movement_input\odds_market_movement_input.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\market_movement_diagnostic\market_movement_diagnostic.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\lineups_availability_input\lineups_availability_input.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\availability_diagnostic\availability_diagnostic.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\player_impact_rolling_form_input\player_impact_rolling_form_input.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\player_form_diagnostic\player_form_diagnostic.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\tactical_set_piece_fatigue_input\tactical_set_piece_fatigue_input.csv,True
output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\tactical_matchup_diagnostic\tactical_matchup_diagnostic.csv,True
report_output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\human_24_block_report\human_24_block_match_report_preview.md,True
export_bundle_dir,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\match_analysis_export_bundle,True
export_bundle_dir,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\match_analysis_export_bundle,True
workbook_output_path,C:\Users\Kadir\football_prediction_v19\outputs\analysis_preview\match_analysis_excel_export\match_analysis_preview_workbook.xlsx,True
