date,season,league,league_display,home_team,away_team,home_goals,away_goals,score,result,odds_home,odds_draw,odds_away,favorite_side,home_fav_bucket,away_fav_bucket,prob_home,prob_draw,prob_away,top_model_side,model_source,control_score,chaos_score,control_bucket,chaos_bucket,total_goals,over15,over25,over35,under35,btts,clean_sheet,favorite_won,upset,home_win_under35,away_win_over25,favorite_win_under35,favorite_win_over25
2021-08-14,2021-2022,2. Bundesliga,D2,1. FC Nürnberg,Fortuna Düsseldorf,2.0,0.0,2-0,H,2.3,3.5,2.9,H,weak_or_no_home_fav,weak_or_no_away_fav,0.48590366014238023,0.27548514504223015,0.23861119481538953,H,2. Bundesliga,6.93,2.0,medium_control,low_chaos,2.0,True,False,False,True,False,True,True,False,True,False,True,False
2021-08-14,2021-2022,2. Bundesliga,D2,Dresden,Hannover 96,2.0,0.0,2-0,H,2.9,3.4,2.4,A,weak_or_no_home_fav,medium_away_fav,0.5261584386354725,0.21619894201963555,0.25764261934489185,H,2. Bundesliga,8.35,3.1,high_control,medium_chaos,2.0,True,False,False,True,False,True,False,True,True,False,False,False
2021-08-14,2021-2022,2. Bundesliga,D2,Holstein Kiel,Jahn Regensburg,0.0,3.0,0-3,A,2.0,3.6,3.6,H,medium_home_fav,weak_or_no_away_fav,0.2118796955398865,0.2904233930493929,0.4976969114107203,A,2. Bundesliga,8.07,3.1,high_control,medium_chaos,3.0,True,True,False,True,False,True,False,True,False,True,False,False
2021-08-14,2021-2022,2. Bundesliga,D2,SV Sandhausen,Karlsruher SC,0.0,0.0,0-0,D,3.4,3.4,2.1,A,weak_or_no_home_fav,strong_away_fav,0.12806265432969305,0.5656623575790298,0.306274988091277,D,2. Bundesliga,6.89,3.1,medium_control,medium_chaos,0.0,False,False,False,True,False,True,False,False,False,False,False,False
2021-08-15,2021-2022,2. Bundesliga,D2,FC Heidenheim,Hansa Rostock,1.0,1.0,1-1,D,2.0,3.6,3.4,H,medium_home_fav,weak_or_no_away_fav,0.313448096610858,0.5242336921252021,0.16231821126394028,D,2. Bundesliga,7.31,2.0,high_control,low_chaos,2.0,True,False,False,True,True,False,False,False,False,False,False,False
2021-08-15,2021-2022,2. Bundesliga,D2,SV Darmstadt 98,FC Ingolstadt,6.0,1.0,6-1,H,3.0,3.4,2.37,A,weak_or_no_home_fav,medium_away_fav,0.5465275190133574,0.1790016377582423,0.27447084322840043,H,2. Bundesliga,7.58,4.2,high_control,medium_chaos,7.0,True,True,True,False,True,False,False,True,False,False,False,False
2021-08-15,2021-2022,2. Bundesliga,D2,Werder Bremen,SC Paderborn 07,1.0,4.0,1-4,A,1.9,3.6,3.75,H,medium_home_fav,weak_or_no_away_fav,0.26541186518227966,0.2993595291233088,0.4352286056944116,A,2. Bundesliga,5.82,2.74,medium_control,low_chaos,5.0,True,True,True,False,True,False,False,True,False,True,False,False
2021-08-20,2021-2022,2. Bundesliga,D2,Fortuna Düsseldorf,Holstein Kiel,2.0,2.0,2-2,D,1.8,3.8,4.0,H,strong_home_fav,weak_or_no_away_fav,0.28953585655385977,0.48287618782936664,0.22758795561677345,D,2. Bundesliga,6.45,3.1,medium_control,medium_chaos,4.0,True,True,True,False,True,False,False,False,False,False,False,False
2021-08-20,2021-2022,2. Bundesliga,D2,Hannover 96,FC Heidenheim,1.0,0.0,1-0,H,2.25,3.4,3.1,H,weak_or_no_home_fav,weak_or_no_away_fav,0.4102374530237006,0.2775522131234397,0.31221033385285973,H,2. Bundesliga,4.76,4.47,low_control,medium_chaos,1.0,False,False,False,True,False,True,True,False,True,False,True,False
2021-08-20,2021-2022,Ligue 1,Ligue 1,Brest,Paris SG,2.0,4.0,2-4,A,9.5,5.75,1.25,A,weak_or_no_home_fav,very_strong_away_fav,0.019301118633849063,0.16929818749759443,0.8114006938685564,A,default,8.6,2.0,high_control,low_chaos,6.0,True,True,True,False,True,False,True,False,False,True,False,True
