market,n,hit,hit_rate,profit,roi,avg_odds,max_dd,top3_wins,profit_ex_top3,roi_ex_top3,seasons,n_seasons,leagues,n_leagues,pattern,odds_band,reject
Home_win,529,356,67.3,-21.33,-4.0,1.43,-27.0,1.72,-23.05,-4.4,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', 'Premier League', 'La Liga', 'Bundesliga', 'Serie A', 'Eredivisie', '2. Bundesliga', 'MLS']",8,strong_home_form,H_1.30-1.60,ROI=-4.0%<=0
Home_win,523,283,54.1,-25.77,-4.9,1.76,-28.9,2.94,-28.71,-5.5,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'La Liga', 'Bundesliga', 'Ligue 1', 'Eredivisie', 'Premier League', 'Serie A', 'MLS']",8,strong_home_form,H_1.60-2.00,ROI=-4.9%<=0
Home_win,435,171,39.3,-47.57,-10.9,2.28,-52.15,5.1,-52.67,-12.1,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'Premier League', 'Bundesliga', 'Serie A', 'La Liga', 'Eredivisie', 'MLS']",8,strong_home_form,H_2.00-2.75,ROI=-10.9%<=0
Home_win,240,61,25.4,-26.76,-11.1,3.99,-42.85,14.0,-40.76,-17.0,"[2021, 2022, 2023, 2024, 2025]",5,"['La Liga', 'Ligue 1', 'Eredivisie', 'Premier League', 'Serie A', 'Bundesliga', '2. Bundesliga', 'MLS']",8,strong_home_form,H_2.75+,ROI=-11.1%<=0
Home_win,2042,1127,55.2,-134.98,-6.6,1.96,-141.52,14.0,-148.98,-7.3,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'La Liga', 'Bundesliga', 'Eredivisie', 'Premier League', 'Serie A', 'MLS']",8,strong_home_form,H_any,ROI=-6.6%<=0
Draw,705,190,27.0,-35.9,-5.1,3.53,-82.2,8.25,-44.15,-6.3,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'La Liga', 'Ligue 1', 'Serie A', 'Premier League', 'Bundesliga', 'Eredivisie', 'MLS']",8,strong_home_form,D_3.20-3.80,ROI=-5.1%<=0
Draw,529,127,24.0,-21.18,-4.0,4.03,-43.64,10.25,-31.43,-5.9,"[2021, 2022, 2023, 2024, 2025]",5,"['Bundesliga', 'La Liga', 'Eredivisie', 'Premier League', 'Serie A', '2. Bundesliga', 'Ligue 1', 'MLS']",8,strong_home_form,D_3.80-4.50,ROI=-4.0%<=0
Draw,367,66,18.0,-49.65,-13.5,4.82,-66.55,12.75,-62.4,-17.0,"[2021, 2022, 2023, 2024, 2025]",5,"['Premier League', 'La Liga', 'Ligue 1', 'Eredivisie', 'Bundesliga', 'Serie A', '2. Bundesliga', 'MLS']",8,strong_home_form,D_4.50-5.50,ROI=-13.5%<=0
Draw,411,66,16.1,30.0,7.3,7.41,-30.25,32.0,-2.0,-0.5,"[2021, 2022, 2023, 2024, 2025]",5,"['Ligue 1', 'Bundesliga', 'Eredivisie', 'Premier League', 'La Liga', 'Serie A', '2. Bundesliga', 'MLS']",8,strong_home_form,D_5.50+,profit_ex_top3<=0
Draw,2042,457,22.4,-82.23,-4.0,4.66,-123.84,32.0,-114.23,-5.6,"[2021, 2022, 2023, 2024, 2025]",5,"['2. Bundesliga', 'Ligue 1', 'La Liga', 'Bundesliga', 'Eredivisie', 'Premier League', 'Serie A', 'MLS']",8,strong_home_form,D_any,ROI=-4.0%<=0
