league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
2. Bundesliga,2022,2022-10-15,Fortuna Dusseldorf,Nurnberg,1.9,3.8,3.75,5.3,3.83,Home,MEDIUM,0.777,0.221,0.0019,unclear,unclear,False,False,False,,10,10,1.4,1.0,0.7,0.5,0.6,0.3,walk_forward,2022-10-15,2022-10-15,101,4,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,bundesliga2_goals_volatile,HIGH,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",A,0.0,1.0,1.0,0,1,1,0,False,False,2022-10,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,early
2. Bundesliga,2022,2022-10-15,Karlsruhe,Darmstadt,2.8,3.4,2.5,4.2,4.47,Draw,MEDIUM,0.2712,0.5975,0.1313,unclear,unclear,False,False,False,,10,10,1.7,2.4,0.6,0.6,0.5,0.6,walk_forward,2022-10-15,2022-10-15,101,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,bundesliga2_goals_volatile,LOW,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",A,1.0,2.0,3.0,1,0,1,1,,,2022-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
2. Bundesliga,2022,2022-10-15,Magdeburg,Braunschweig,2.2,3.6,3.0,4.4,4.8,Home,MEDIUM,0.7248,0.1982,0.077,OVER likely,BTTS YES likely,True,False,False,,10,10,1.0,1.2,0.7,0.7,0.5,0.7,walk_forward,2022-10-15,2022-10-15,101,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,bundesliga2_goals_volatile,SUPPRESSED,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,2.Bundesliga: UNDER_35/BOTH_OVER25_BTTS have poor evidence in this goals+volatile league.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",A,0.0,2.0,2.0,0,1,1,0,False,False,2022-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-15,Hannover,Bielefeld,1.9,3.75,4.0,5.8,4.87,Home,MEDIUM,0.7775,0.1836,0.0388,OVER likely,BTTS YES likely,False,True,False,,10,10,1.7,0.8,0.7,0.6,0.7,0.7,walk_forward,2022-10-15,2022-10-15,101,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,bundesliga2_goals_volatile,SUPPRESSED,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,2.Bundesliga: UNDER_35/BOTH_OVER25_BTTS have poor evidence in this goals+volatile league.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",H,2.0,0.0,2.0,0,1,1,0,False,False,2022-10,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-16,Holstein Kiel,Heidenheim,2.45,3.5,2.87,3.82,5.06,Away,LOW,0.4441,0.0088,0.5471,OVER likely,BTTS YES likely,False,False,False,,10,10,1.5,1.7,0.7,0.6,0.7,0.5,walk_forward,2022-10-16,2022-10-16,105,3,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,bundesliga2_goals_volatile,HIGH,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",H,3.0,1.0,4.0,1,0,0,1,True,,2022-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-16,Kaiserslautern,Regensburg,1.75,3.8,4.75,5.65,4.35,Home,MEDIUM,0.6029,0.3952,0.002,unclear,unclear,False,False,False,,10,10,1.3,0.9,0.6,0.5,0.8,0.1,walk_forward,2022-10-16,2022-10-16,105,3,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,bundesliga2_goals_volatile,LOW,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",A,0.0,3.0,3.0,1,0,1,0,,,2022-10,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-16,Paderborn,Sandhausen,1.5,4.33,6.5,6.83,4.3,Away,MEDIUM,0.4371,0.0436,0.5193,OVER likely,BTTS YES likely,False,True,False,,10,10,1.9,0.9,0.8,0.4,0.6,0.6,walk_forward,2022-10-16,2022-10-16,105,3,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,bundesliga2_goals_volatile,SUPPRESSED,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,2.Bundesliga: UNDER_35/BOTH_OVER25_BTTS have poor evidence in this goals+volatile league.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",H,3.0,0.0,3.0,1,0,1,0,True,False,2022-10,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-21,Darmstadt,Holstein Kiel,1.75,4.0,4.5,5.95,4.72,Away,MEDIUM,0.2375,0.0596,0.7029,OVER likely,BTTS YES likely,False,True,False,,10,10,2.4,1.7,0.6,0.7,0.6,0.7,walk_forward,2022-10-21,2022-10-21,108,2,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,bundesliga2_goals_volatile,SUPPRESSED,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,2.Bundesliga: UNDER_35/BOTH_OVER25_BTTS have poor evidence in this goals+volatile league.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",D,1.0,1.0,2.0,0,1,1,1,True,False,2022-10,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
2. Bundesliga,2022,2022-10-21,Hansa Rostock,Kaiserslautern,2.87,3.4,2.45,3.72,4.92,Away,LOW,0.3042,0.0147,0.681,unclear,BTTS YES likely,False,False,False,,10,10,1.1,1.2,0.6,0.6,0.5,0.7,walk_forward,2022-10-21,2022-10-21,108,2,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,bundesliga2_goals_volatile,MEDIUM,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",A,0.0,2.0,2.0,0,1,1,0,False,False,2022-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
2. Bundesliga,2022,2022-10-22,Regensburg,Sandhausen,2.2,3.4,3.3,4.2,3.3,Draw,NO-CONFIDENCE,0.3349,0.3452,0.3199,unclear,unclear,False,False,False,,10,10,0.9,0.9,0.5,0.4,0.1,0.5,walk_forward,2022-10-22,2022-10-22,110,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,no_confidence_on_direction,LOW,no_confidence,bundesliga2_goals_volatile,HIGH,2.Bundesliga combines goals and volatility. AVOID is the strongest subtype (86.7%). UNDER_35 is suppressed due to higher-scoring nature. BTTS_OVER acceptable cautiously; BOTH_OVER25_BTTS unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","UNDER_35, BOTH_OVER25_BTTS",H,2.0,1.0,3.0,1,0,1,1,True,,2022-10,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,mid
