league,season,mode,total_matches,evaluatable_matches,overall_type_success_rate,avoid_n,avoid_rate,btts_over_n,btts_over_rate,direction_n,direction_rate,double_chance_n,double_chance_rate,under_n,under_rate
Bundesliga,2024,walk_forward,206,175,0.7486,30,0.7667,97,0.7423,1.0,1.0,44,0.7273,3.0,1.0
2. Bundesliga,2024,walk_forward,205,176,0.7045,31,0.9032,97,0.6495,,,46,0.7174,2.0,0.0
Eredivisie,2024,walk_forward,203,175,0.7257,22,0.8182,108,0.6944,3.0,1.0,41,0.7317,1.0,1.0
Premier League,2024,walk_forward,280,247,0.7206,26,0.7308,160,0.7063,9.0,0.4444,52,0.8077,,
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
Serie A,2024,walk_forward,278,232,0.7198,34,0.9118,89,0.5955,6.0,0.8333,90,0.7778,13.0,0.6154
Ligue 1,2024,walk_forward,205,192,0.6771,20,0.6,105,0.7238,28.0,0.6429,34,0.5588,5.0,1.0
Belgian Pro League,2024,walk_forward,232,200,0.755,23,0.913,93,0.6667,4.0,0.5,74,0.8378,6.0,0.6667
Belgian Pro League,2024,walk_forward,292,257,0.7588,35,0.8286,123,0.6992,4.0,0.5,84,0.8333,11.0,0.7273
La Liga,2025,walk_forward,290,249,0.7189,33,0.8485,130,0.6538,6.0,0.8333,74,0.7568,6.0,0.8333
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
Bundesliga,2024,walk_forward,206,175,0.7486,30,0.7667,97,0.7423,1.0,1.0,44,0.7273,3.0,1.0
2. Bundesliga,2024,walk_forward,205,176,0.7045,31,0.9032,97,0.6495,,,46,0.7174,2.0,0.0
Eredivisie,2024,walk_forward,203,175,0.7257,22,0.8182,108,0.6944,3.0,1.0,41,0.7317,1.0,1.0
Premier League,2024,walk_forward,280,247,0.7206,26,0.7308,160,0.7063,9.0,0.4444,52,0.8077,,
Serie A,2024,walk_forward,278,232,0.7198,34,0.9118,89,0.5955,6.0,0.8333,90,0.7778,13.0,0.6154
Ligue 1,2024,walk_forward,205,192,0.6771,20,0.6,105,0.7238,28.0,0.6429,34,0.5588,5.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
Bundesliga,2024,walk_forward,206,175,0.7486,30,0.7667,97,0.7423,1.0,1.0,44,0.7273,3.0,1.0
2. Bundesliga,2024,walk_forward,205,176,0.7045,31,0.9032,97,0.6495,,,46,0.7174,2.0,0.0
Eredivisie,2024,walk_forward,203,175,0.7257,22,0.8182,108,0.6944,3.0,1.0,41,0.7317,1.0,1.0
Premier League,2024,walk_forward,280,247,0.7206,26,0.7308,160,0.7063,9.0,0.4444,52,0.8077,,
Serie A,2024,walk_forward,278,232,0.7198,34,0.9118,89,0.5955,6.0,0.8333,90,0.7778,13.0,0.6154
Ligue 1,2024,walk_forward,205,192,0.6771,20,0.6,105,0.7238,28.0,0.6429,34,0.5588,5.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,246,0.6992,20,0.75,141,0.6312,6.0,1.0,70,0.7571,9.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
La Liga,2024,walk_forward,280,243,0.7119,24,0.7083,139,0.6547,5.0,1.0,64,0.7656,11.0,1.0
Bundesliga,2024,walk_forward,206,175,0.7486,30,0.7667,97,0.7423,1.0,1.0,44,0.7273,3.0,1.0
2. Bundesliga,2024,walk_forward,205,176,0.7045,31,0.9032,97,0.6495,,,46,0.7174,2.0,0.0
Eredivisie,2024,walk_forward,203,175,0.7257,22,0.8182,108,0.6944,3.0,1.0,41,0.7317,1.0,1.0
Premier League,2024,walk_forward,280,247,0.7206,26,0.7308,160,0.7063,9.0,0.4444,52,0.8077,,
Serie A,2024,walk_forward,278,232,0.7198,34,0.9118,89,0.5955,6.0,0.8333,90,0.7778,13.0,0.6154
Ligue 1,2024,walk_forward,205,192,0.6771,20,0.6,105,0.7238,28.0,0.6429,34,0.5588,5.0,1.0
