league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Eredivisie,2022,2022-10-30,AZ Alkmaar,Volendam,1.2,7.0,13.0,8.03,4.92,Home,HIGH,0.9315,0.0652,0.0032,OVER likely,BTTS YES likely,False,True,False,,10,10,2.0,0.5,0.7,0.6,0.8,0.7,walk_forward,2022-10-30,2022-10-30,102,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,2.0,1.0,3.0,1,0,1,1,True,True,2022-10,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-10-30,FC Emmen,Groningen,2.25,3.5,3.1,4.48,4.49,Home,LOW,0.4545,0.2364,0.3091,unclear,BTTS YES likely,False,True,False,,10,10,0.6,1.0,0.6,0.6,0.6,0.6,walk_forward,2022-10-30,2022-10-30,102,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,D,0.0,0.0,0.0,0,1,1,0,False,False,2022-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-10-30,PSV Eindhoven,Nijmegen,1.22,7.0,11.0,7.49,4.65,Home,HIGH,0.9868,0.0123,0.0009,unclear,BTTS YES likely,False,True,False,,10,10,2.1,1.1,0.8,0.2,0.7,0.7,walk_forward,2022-10-30,2022-10-30,102,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,3.0,0.0,3.0,1,0,1,0,True,False,2022-10,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-10-30,Twente,Waalwijk,1.5,4.5,6.0,6.43,4.1,Home,MEDIUM,0.8648,0.084,0.0512,unclear,unclear,False,False,False,,10,10,1.9,1.3,0.6,0.6,0.3,0.7,walk_forward,2022-10-30,2022-10-30,102,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,3.0,0.0,3.0,1,0,1,0,,,2022-10,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-11-04,Cambuur,Nijmegen,2.62,3.4,2.62,3.22,3.65,Draw,LOW,0.2524,0.451,0.2966,unclear,unclear,False,False,False,,10,10,0.8,0.8,0.5,0.2,0.2,0.6,walk_forward,2022-11-04,2022-11-04,106,1,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,1.0,1.0,0,1,1,0,,,2022-11,no_clear_fav (>2.5),low (3-5),low (<4),NO_CLEAR_FAVORITE,mid
Eredivisie,2022,2022-11-05,Vitesse,Sparta Rotterdam,1.85,3.6,4.2,5.82,4.4,Draw,MEDIUM,0.2005,0.624,0.1755,OVER likely,unclear,True,False,False,,10,10,1.1,1.9,0.7,0.7,0.5,0.5,walk_forward,2022-11-05,2022-11-05,107,3,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,4.0,4.0,1,0,0,0,True,True,2022-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-11-05,For Sittard,FC Emmen,2.2,3.5,3.2,4.8,4.51,Away,MEDIUM,0.4144,0.0326,0.553,unclear,BTTS YES likely,False,False,False,,10,10,1.2,0.6,0.5,0.6,0.7,0.5,walk_forward,2022-11-05,2022-11-05,107,3,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,1.0,1.0,0,1,1,0,False,,2022-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2022,2022-11-05,Excelsior,Heerenveen,4.33,4.0,1.75,6.05,4.47,Away,MEDIUM,0.1521,0.0158,0.8321,OVER likely,BTTS YES likely,False,False,False,,10,10,0.7,1.5,0.7,0.6,0.7,0.5,walk_forward,2022-11-05,2022-11-05,107,3,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,1.0,1.0,0,1,1,0,False,False,2022-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2022,2022-11-06,Volendam,Feyenoord,7.5,5.5,1.36,7.76,4.22,Away,HIGH,0.2829,0.0032,0.7139,unclear,BTTS YES likely,False,False,False,,10,10,0.5,2.1,0.6,0.5,0.7,0.5,walk_forward,2022-11-06,2022-11-06,110,5,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,2.0,2.0,0,1,1,0,False,False,2022-11,heavy_fav (<=1.5),high (7-10),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2022,2022-11-06,Ajax,PSV Eindhoven,1.75,4.0,4.33,5.65,4.52,Home,MEDIUM,0.9914,0.0044,0.0042,OVER likely,BTTS YES likely,True,True,False,,10,10,2.5,2.1,0.7,0.8,0.6,0.6,walk_forward,2022-11-06,2022-11-06,110,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,1.0,2.0,3.0,1,0,1,1,True,True,2022-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
