league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Eredivisie,2024,2024-11-10,AZ Alkmaar,Willem II,1.48,4.2,7.0,6.18,3.5,Home,MEDIUM,0.9471,0.0451,0.0079,unclear,unclear,False,False,False,,10,10,1.4,1.1,0.7,0.3,0.6,0.3,walk_forward,2024-11-10,2024-11-10,103,4,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A_TIER,93,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_1X) + clean signal (no warning, chaos within range).",high_strength | preferred_subtype:DOUBLE_CHANCE_1X | chaos_low,2.14,A,1.0,2.0,3.0,1,0,1,1,False,False,2024-11,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-10,Twente,Ajax,2.55,3.4,2.7,4.08,3.88,Away,MEDIUM,0.3014,0.1803,0.5183,unclear,unclear,False,False,False,,10,10,1.8,2.5,0.5,0.5,0.5,0.5,walk_forward,2024-11-10,2024-11-10,103,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,0.26,D,2.0,2.0,4.0,1,0,0,1,True,,2024-11,no_clear_fav (>2.5),low (3-5),low (<4),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-10,Almere City,Feyenoord,11.0,4.75,1.3,7.8,3.68,Away,HIGH,0.0249,0.0328,0.9423,unclear,unclear,False,False,False,,10,10,0.6,2.1,0.4,0.5,0.3,0.7,walk_forward,2024-11-10,2024-11-10,103,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.09,A,1.0,4.0,5.0,1,0,0,1,,,2024-11,heavy_fav (<=1.5),high (7-10),low (<4),AWAY_FAVORITE,mid
Eredivisie,2024,2024-11-10,Heerenveen,Go Ahead Eagles,2.35,3.5,2.88,4.25,4.44,Home,MEDIUM,0.9346,0.0166,0.0487,unclear,unclear,False,False,False,,10,10,1.1,1.5,0.6,0.6,0.5,0.6,walk_forward,2024-11-10,2024-11-10,103,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.09,H,1.0,0.0,1.0,0,1,1,0,,,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-23,Go Ahead Eagles,Almere City,1.57,4.0,6.0,6.57,3.85,Home,MEDIUM,0.7759,0.1692,0.0549,unclear,unclear,False,False,False,,10,10,1.5,0.6,0.6,0.4,0.6,0.4,walk_forward,2024-11-23,2024-11-23,107,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A_TIER,93,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_1X) + clean signal (no warning, chaos within range).",high_strength | preferred_subtype:DOUBLE_CHANCE_1X | chaos_low,2.14,H,3.0,0.0,3.0,1,0,1,0,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-23,Feyenoord,Heerenveen,1.27,5.5,11.0,7.17,3.98,Home,HIGH,0.8891,0.0969,0.014,unclear,unclear,False,False,False,,10,10,2.1,1.3,0.5,0.6,0.7,0.4,walk_forward,2024-11-23,2024-11-23,107,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.09,H,3.0,0.0,3.0,1,0,1,0,,,2024-11,heavy_fav (<=1.5),high (7-10),low (<4),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-23,Heracles,Waalwijk,1.8,3.8,4.2,5.83,4.0,Home,MEDIUM,0.7984,0.1851,0.0165,OVER likely,unclear,False,False,False,,10,10,1.1,0.4,0.6,0.7,0.5,0.4,walk_forward,2024-11-23,2024-11-23,107,5,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH | preferred_subtype:OVER_25,0.26,D,2.0,2.0,4.0,1,0,0,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-23,For Sittard,Twente,4.75,3.5,1.8,5.83,3.81,Away,MEDIUM,0.2915,0.1141,0.5945,unclear,unclear,False,False,False,,10,10,1.1,1.8,0.5,0.6,0.3,0.5,walk_forward,2024-11-23,2024-11-23,107,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A_TIER,93,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_X2) + clean signal (no warning, chaos within range).",high_strength | preferred_subtype:DOUBLE_CHANCE_X2 | chaos_low,2.14,A,1.0,2.0,3.0,1,0,1,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),low (<4),AWAY_FAVORITE,mid
Eredivisie,2024,2024-11-23,PSV Eindhoven,Groningen,1.14,8.5,15.0,8.77,3.75,Home,HIGH,0.9944,0.0016,0.0039,OVER likely,unclear,False,False,False,,10,10,2.7,0.6,0.8,0.4,0.5,0.4,walk_forward,2024-11-23,2024-11-23,107,5,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,74,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH | preferred_subtype:OVER_25,0.26,H,5.0,0.0,5.0,1,0,0,0,True,True,2024-11,heavy_fav (<=1.5),high (7-10),low (<4),HOME_FAVORITE,mid
Eredivisie,2024,2024-11-24,Ajax,Zwolle,1.17,7.0,17.0,7.7,4.4,Home,HIGH,0.9783,0.0171,0.0046,unclear,BTTS YES likely,False,True,False,,10,10,2.3,1.2,0.6,0.6,0.6,0.6,walk_forward,2024-11-24,2024-11-24,112,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.14,H,2.0,0.0,2.0,0,1,1,0,False,False,2024-11,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
