league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
La Liga,2025,2025-10-17,Oviedo,Espanol,3.0,3.1,2.5,4.25,3.77,Away,MEDIUM,0.1374,0.1012,0.7613,unclear,unclear,False,False,False,,8,8,0.75,1.5,0.375,0.625,0.25,0.625,walk_forward,2025-10-17,2025-10-17,80,1,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,la_liga_control,HIGH,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",A_TIER,93,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_X2) + clean signal (no warning, chaos within range).",high_strength | preferred_subtype:DOUBLE_CHANCE_X2 | chaos_low,A,0.0,2.0,2.0,0,1,1,0,True,True,2025-10,medium_fav (2.0-2.5),low (3-5),low (<4),AWAY_FAVORITE,early
La Liga,2025,2025-10-18,Sevilla,Mallorca,1.85,3.3,4.75,6.02,4.89,Home,MEDIUM,0.9126,0.0012,0.0861,OVER likely,BTTS YES likely,False,True,False,,8,8,1.625,0.625,0.75,0.5,0.75,0.625,walk_forward,2025-10-18,2025-10-18,81,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,Subtype BOTH_OVER25_BTTS has consistently poor walk-forward evidence across all leagues.,hard_nogo_subtype:BOTH_OVER25_BTTS,A,1.0,3.0,4.0,1,0,0,1,True,True,2025-10,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,early
La Liga,2025,2025-10-18,Barcelona,Girona,1.2,7.0,12.0,8.16,4.59,Home,HIGH,0.9655,0.0297,0.0048,OVER likely,BTTS YES likely,False,False,False,,8,8,2.375,0.75,0.875,0.5,0.625,0.5,walk_forward,2025-10-18,2025-10-18,81,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,Subtype BOTH_OVER25_BTTS has consistently poor walk-forward evidence across all leagues.,hard_nogo_subtype:BOTH_OVER25_BTTS,H,2.0,1.0,3.0,1,0,1,1,True,True,2025-10,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,early
La Liga,2025,2025-10-18,Villarreal,Betis,1.91,3.6,4.0,5.0,4.28,Away,MEDIUM,0.2342,0.0263,0.7395,unclear,BTTS YES likely,False,False,False,,8,8,2.0,1.875,0.5,0.5,0.5,0.75,walk_forward,2025-10-18,2025-10-18,81,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,D,2.0,2.0,4.0,1,0,0,1,True,True,2025-10,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,early
La Liga,2025,2025-10-18,Ath Madrid,Osasuna,1.38,4.75,8.5,6.49,3.59,Home,MEDIUM,0.6905,0.001,0.3085,UNDER likely,BTTS YES likely,False,False,False,,8,8,1.625,1.25,0.375,0.25,0.875,0.375,walk_forward,2025-10-18,2025-10-18,81,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,10,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,H,1.0,0.0,1.0,0,1,1,0,False,False,2025-10,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,early
La Liga,2025,2025-10-19,Elche,Ath Bilbao,3.75,3.25,2.1,4.43,4.09,Away,MEDIUM,0.0764,0.0045,0.9191,unclear,BTTS YES likely,False,False,False,,8,8,1.625,1.625,0.375,0.375,0.75,0.5,walk_forward,2025-10-19,2025-10-19,85,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,D,0.0,0.0,0.0,0,1,1,0,False,False,2025-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,early
La Liga,2025,2025-10-19,Celta,Sociedad,2.1,3.4,3.5,4.56,4.57,Home,MEDIUM,0.7269,0.0067,0.2663,UNDER likely,BTTS YES likely,False,True,False,,8,8,0.75,0.625,0.125,0.5,0.875,0.625,walk_forward,2025-10-19,2025-10-19,85,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,D,1.0,1.0,2.0,0,1,1,1,True,True,2025-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,early
La Liga,2025,2025-10-19,Levante,Vallecano,2.88,3.25,2.5,3.5,4.0,Home,LOW,0.8489,0.0007,0.1504,unclear,BTTS YES likely,False,False,False,,8,8,1.0,1.0,0.625,0.25,0.625,0.5,walk_forward,2025-10-19,2025-10-19,85,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,la_liga_control,HIGH,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,A,0.0,3.0,3.0,1,0,1,0,True,,2025-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,early
La Liga,2025,2025-10-19,Getafe,Real Madrid,8.0,4.33,1.42,7.27,4.12,Away,HIGH,0.0324,0.0287,0.9389,OVER likely,BTTS YES likely,False,False,False,,8,8,1.375,2.625,0.5,0.75,0.5,0.625,walk_forward,2025-10-19,2025-10-19,85,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,la_liga_control,SUPPRESSED,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",La Liga: goals subtype has poor walk-forward evidence — treat with caution.,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",HARD_NO_GO,5,Subtype BOTH_OVER25_BTTS has consistently poor walk-forward evidence across all leagues.,hard_nogo_subtype:BOTH_OVER25_BTTS,A,0.0,1.0,1.0,0,1,1,0,False,False,2025-10,heavy_fav (<=1.5),high (7-10),medium (4-6),AWAY_FAVORITE,early
La Liga,2025,2025-10-20,Alaves,Valencia,2.25,3.0,3.6,4.46,4.31,Away,LOW,0.1983,0.3422,0.4595,unclear,BTTS YES likely,False,False,False,,8,8,1.375,1.0,0.375,0.625,0.625,0.5,walk_forward,2025-10-20,2025-10-20,89,1,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,la_liga_control,HIGH,"La Liga is a lower-scoring, controlled league. UNDER_35 shows 92.7% accuracy (n=41). OVER_25 and BTTS have poor evidence; BOTH_OVER25_BTTS is unreliable.",,"UNDER_35, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BTTS, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,D,0.0,0.0,0.0,0,1,1,0,True,,2025-10,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,early
