league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Ligue 1,2023,2023-11-12,Clermont,Lorient,2.1,3.3,3.6,4.83,4.39,Home,MEDIUM,0.8308,0.0832,0.0861,unclear,unclear,False,False,False,,10,10,0.6,1.0,0.4,0.7,0.4,0.6,walk_forward,2023-11-12,2023-11-12,100,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,ligue1_cautious,LOW,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",H,1.0,0.0,1.0,0,1,1,0,,,2023-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,early
Ligue 1,2023,2023-11-12,Lille,Toulouse,1.55,4.2,6.0,6.72,3.7,Home,MEDIUM,0.962,0.0261,0.0119,unclear,unclear,False,False,False,,10,10,1.8,0.8,0.3,0.5,0.4,0.6,walk_forward,2023-11-12,2023-11-12,100,5,logistic_regression,True,,DIRECTION,DIRECTION_HOME,home_direction,MEDIUM,ligue1_home_favorite_medium_control,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: DIRECTION type has historically poor accuracy — consider OBSERVE_ONLY.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",D,1.0,1.0,2.0,0,1,1,1,False,False,2023-11,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,early
Ligue 1,2023,2023-11-12,Metz,Nantes,2.9,3.25,2.5,3.9,3.81,Draw,LOW,0.2806,0.4353,0.2841,unclear,unclear,False,False,False,,10,10,1.0,1.4,0.4,0.5,0.4,0.5,walk_forward,2023-11-12,2023-11-12,100,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",H,3.0,1.0,4.0,1,0,0,1,False,False,2023-11,medium_fav (2.0-2.5),low (3-5),low (<4),AWAY_FAVORITE,mid
Ligue 1,2023,2023-11-12,Rennes,Lyon,1.73,4.2,4.33,5.8,4.7,Draw,MEDIUM,0.2099,0.7094,0.0807,unclear,BTTS YES likely,False,True,False,,10,10,0.9,0.4,0.5,0.5,0.7,0.6,walk_forward,2023-11-12,2023-11-12,100,5,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",A,0.0,1.0,1.0,0,1,1,0,False,False,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2023,2023-11-12,Lens,Marseille,2.25,3.4,3.2,4.08,3.8,Home,MEDIUM,0.5094,0.2435,0.247,unclear,unclear,False,False,False,,10,10,1.3,1.3,0.4,0.5,0.4,0.4,walk_forward,2023-11-12,2023-11-12,100,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",H,1.0,0.0,1.0,0,1,1,0,True,True,2023-11,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,mid
Ligue 1,2023,2023-11-24,Paris SG,Monaco,1.45,4.75,6.5,6.65,4.53,Draw,MEDIUM,0.1993,0.6785,0.1221,OVER likely,unclear,False,False,False,,10,10,2.5,1.8,0.9,0.6,0.5,0.5,walk_forward,2023-11-24,2023-11-24,105,1,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",H,5.0,2.0,7.0,1,0,0,1,True,True,2023-11,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2023,2023-11-25,Clermont,Lens,3.75,3.5,2.0,5.27,2.91,Home,MEDIUM,0.5383,0.4433,0.0183,unclear,unclear,False,False,False,,10,10,0.9,1.5,0.3,0.4,0.3,0.3,walk_forward,2023-11-25,2023-11-25,106,2,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",A,0.0,3.0,3.0,1,0,1,0,False,False,2023-11,strong_fav (1.5-2.0),medium (5-7),low (<4),AWAY_FAVORITE,mid
Ligue 1,2023,2023-11-25,Strasbourg,Marseille,3.8,3.6,1.91,4.98,3.15,Draw,MEDIUM,0.0078,0.9896,0.0025,unclear,unclear,False,False,False,,10,10,0.9,1.0,0.4,0.4,0.3,0.3,walk_forward,2023-11-25,2023-11-25,106,2,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",D,1.0,1.0,2.0,0,1,1,1,True,True,2023-11,strong_fav (1.5-2.0),low (3-5),low (<4),AWAY_FAVORITE,mid
Ligue 1,2023,2023-11-26,Rennes,Reims,2.0,3.6,3.75,5.57,4.58,Draw,MEDIUM,0.2012,0.6264,0.1724,unclear,BTTS YES likely,False,True,False,,10,10,0.8,1.7,0.5,0.6,0.6,0.6,walk_forward,2023-11-26,2023-11-26,108,6,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",H,3.0,1.0,4.0,1,0,0,1,True,True,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2023,2023-11-26,Lyon,Lille,3.0,3.3,2.38,4.68,3.79,Away,MEDIUM,0.0549,0.0616,0.8835,unclear,unclear,False,False,False,,10,10,0.7,1.6,0.4,0.3,0.5,0.5,walk_forward,2023-11-26,2023-11-26,108,6,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",A,0.0,2.0,2.0,0,1,1,0,True,True,2023-11,medium_fav (2.0-2.5),low (3-5),low (<4),AWAY_FAVORITE,mid
