league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Ligue 1,2024,2024-11-23,Lens,Marseille,2.25,3.5,3.1,4.38,3.96,Home,LOW,0.3879,0.2475,0.3647,unclear,unclear,False,False,False,,10,10,1.4,1.7,0.2,0.7,0.4,0.6,walk_forward,2024-11-23,2024-11-23,101,3,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,ligue1_cautious,LOW,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-4.73,A,1.0,3.0,4.0,1,0,0,1,,,2024-11,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,early
Ligue 1,2024,2024-11-23,St Etienne,Montpellier,2.3,3.6,2.9,4.37,3.9,Home,MEDIUM,0.9069,0.0284,0.0647,OVER likely,unclear,False,False,False,,10,10,1.0,0.6,0.5,0.9,0.3,0.5,walk_forward,2024-11-23,2024-11-23,101,3,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,10,SUPPRESSED league_adjusted_strength combined with active warning flag.,suppressed_strength | warning_flag,-5.69,H,1.0,0.0,1.0,0,1,1,0,False,False,2024-11,medium_fav (2.0-2.5),low (3-5),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-23,Reims,Lyon,2.75,3.75,2.35,3.95,4.82,Away,LOW,0.0195,0.1322,0.8483,OVER likely,BTTS YES likely,False,False,False,,10,10,1.7,1.8,0.8,0.5,0.8,0.5,walk_forward,2024-11-23,2024-11-23,101,3,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.16,D,1.0,1.0,2.0,0,1,1,1,True,False,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Ligue 1,2024,2024-11-24,Nice,Strasbourg,1.75,3.6,4.75,5.75,4.98,Home,MEDIUM,0.9783,0.0104,0.0113,unclear,BTTS YES likely,False,True,False,,10,10,1.7,1.2,0.4,0.7,0.6,0.8,walk_forward,2024-11-24,2024-11-24,104,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.45,H,2.0,1.0,3.0,1,0,1,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-24,Nantes,Le Havre,1.85,3.4,4.5,5.02,3.95,Home,MEDIUM,0.9749,0.0075,0.0176,unclear,unclear,False,False,False,,10,10,0.9,0.9,0.6,0.5,0.8,0.2,walk_forward,2024-11-24,2024-11-24,104,4,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,ligue1_home_favorite_medium_control,ligue1_cautious,HIGH,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",B_TIER,74,"HIGH adjusted strength + preferred subtype (DOUBLE_CHANCE_1X) + clean signal (no warning, chaos within range). [LIGUE1_CAP: A_TIER→B_TIER]",high_strength | preferred_subtype:DOUBLE_CHANCE_1X | chaos_low,0.41,A,0.0,2.0,2.0,0,1,1,0,False,False,2024-11,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-24,Auxerre,Angers,1.8,3.7,4.33,5.43,4.99,Draw,MEDIUM,0.1415,0.8489,0.0096,OVER likely,BTTS YES likely,False,True,False,,10,10,1.3,1.0,0.9,0.4,0.6,0.8,walk_forward,2024-11-24,2024-11-24,104,4,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.16,H,1.0,0.0,1.0,0,1,1,0,False,False,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-24,Lille,Rennes,1.91,3.6,3.9,5.68,4.33,Home,MEDIUM,0.9266,0.05,0.0234,unclear,unclear,False,False,False,,10,10,1.6,0.8,0.5,0.6,0.5,0.6,walk_forward,2024-11-24,2024-11-24,104,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,ligue1_cautious,LOW,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-4.73,H,1.0,0.0,1.0,0,1,1,0,,,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-29,Reims,Lens,3.1,3.3,2.3,4.57,4.66,Away,MEDIUM,0.0163,0.0049,0.9788,unclear,BTTS YES likely,False,False,False,,10,10,1.7,1.1,0.7,0.3,0.8,0.5,walk_forward,2024-11-29,2024-11-29,108,1,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.45,A,0.0,2.0,2.0,0,1,1,0,False,False,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Ligue 1,2024,2024-11-30,Rennes,St Etienne,1.48,4.75,6.0,6.38,3.25,Home,MEDIUM,0.9283,0.0054,0.0662,unclear,unclear,False,False,False,,10,10,0.8,1.3,0.5,0.5,0.5,0.3,walk_forward,2024-11-30,2024-11-30,109,3,logistic_regression,True,,DIRECTION,DIRECTION_HOME,home_direction,MEDIUM,ligue1_home_favorite_medium_control,ligue1_cautious,MEDIUM,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: DIRECTION type has historically poor accuracy — consider OBSERVE_ONLY.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,24,Ligue 1 DIRECTION type has historically poor accuracy (walk-forward evidence).,ligue1_direction,-4.35,H,5.0,0.0,5.0,1,0,0,0,True,True,2024-11,heavy_fav (<=1.5),medium (5-7),low (<4),HOME_FAVORITE,mid
Ligue 1,2024,2024-11-30,Brest,Strasbourg,2.2,3.4,3.3,4.6,4.85,Home,MEDIUM,0.6934,0.0047,0.3018,OVER likely,BTTS YES likely,False,False,False,,10,10,1.3,0.9,0.6,0.7,0.5,0.8,walk_forward,2024-11-30,2024-11-30,109,3,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,ligue1_cautious,SUPPRESSED,Ligue 1 has the lowest overall accuracy (67.4%) due to excess DIRECTION calls. AVOID and DOUBLE_CHANCE_X2 are most reliable. DC_1X requires caution. DIRECTION type triggers a league warning.,Ligue 1: goals subtypes have weak evidence in this league.,"DOUBLE_CHANCE_X2, DOUBLE_CHANCE_1X","BOTH_OVER25_BTTS, OVER_25",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-6.16,H,3.0,1.0,4.0,1,0,0,1,True,True,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
