league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Premier League,2024,2024-11-09,Brentford,Bournemouth,2.5,3.5,2.7,3.7,4.94,Home,LOW,0.7639,0.2302,0.0059,OVER likely,BTTS YES likely,False,True,False,,10,10,1.3,1.5,0.8,0.4,0.9,0.6,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,SUPPRESSED,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,Premier League: OVER_25 standalone and BOTH_OVER25_BTTS have poor evidence.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-7.33,H,3.0,2.0,5.0,1,0,0,1,True,True,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-09,Crystal Palace,Fulham,2.7,3.5,2.55,4.18,4.41,Home,MEDIUM,0.9087,0.0889,0.0024,unclear,BTTS YES likely,False,False,False,,10,10,0.7,1.5,0.4,0.5,0.5,0.8,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,premier_league_balanced,HIGH,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.34,A,0.0,2.0,2.0,0,1,1,0,True,,2024-11,no_clear_fav (>2.5),low (3-5),medium (4-6),AWAY_FAVORITE,early
Premier League,2024,2024-11-09,West Ham,Everton,2.15,3.4,3.4,4.52,4.62,Home,MEDIUM,0.8583,0.1389,0.0028,unclear,BTTS YES likely,False,False,False,,10,10,1.1,0.9,0.7,0.5,0.7,0.5,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,MEDIUM,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-3.14,D,0.0,0.0,0.0,0,1,1,0,False,False,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-09,Wolves,Southampton,1.91,3.75,3.75,4.98,4.87,Draw,MEDIUM,0.1415,0.8581,0.0004,OVER likely,BTTS YES likely,False,False,False,,10,10,0.3,0.4,0.8,0.5,0.9,0.5,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,SUPPRESSED,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,Premier League: OVER_25 standalone and BOTH_OVER25_BTTS have poor evidence.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-7.33,H,2.0,0.0,2.0,0,1,1,0,False,False,2024-11,strong_fav (1.5-2.0),low (3-5),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-09,Brighton,Man City,4.1,4.2,1.73,6.0,5.3,Home,MEDIUM,0.8734,0.1072,0.0194,OVER likely,BTTS YES likely,True,True,False,,10,10,1.6,2.3,0.7,0.7,0.7,0.8,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,goals_signal_with_control_not_required,premier_league_balanced,SUPPRESSED,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,Premier League: OVER_25 standalone and BOTH_OVER25_BTTS have poor evidence.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-7.33,H,2.0,1.0,3.0,1,0,1,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,early
Premier League,2024,2024-11-09,Liverpool,Aston Villa,1.42,5.25,6.5,6.72,4.47,Home,MEDIUM,0.9047,0.0943,0.0011,OVER likely,BTTS YES likely,False,False,False,,10,10,2.5,1.8,0.6,0.7,0.4,0.8,walk_forward,2024-11-09,2024-11-09,100,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,SUPPRESSED,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,Premier League: OVER_25 standalone and BOTH_OVER25_BTTS have poor evidence.,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",HARD_NO_GO,5,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-7.33,H,2.0,0.0,2.0,0,1,1,0,False,False,2024-11,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-10,Chelsea,Arsenal,2.7,3.4,2.55,3.38,4.2,Home,LOW,0.7577,0.2247,0.0177,unclear,BTTS YES likely,False,False,False,,10,10,1.8,1.8,0.5,0.4,0.7,0.5,walk_forward,2024-11-10,2024-11-10,106,4,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,premier_league_balanced,HIGH,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",B_TIER,70,"Adjusted strength HIGH, no warning, subtype not suppressed.",strength:HIGH,-0.34,D,1.0,1.0,2.0,0,1,1,1,True,,2024-11,no_clear_fav (>2.5),low (3-5),medium (4-6),AWAY_FAVORITE,early
Premier League,2024,2024-11-10,Tottenham,Ipswich,1.25,6.5,9.0,7.52,4.47,Home,HIGH,0.9997,0.0003,0.0001,unclear,BTTS YES likely,False,True,False,,10,10,1.6,0.5,0.7,0.4,0.6,0.7,walk_forward,2024-11-10,2024-11-10,106,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,MEDIUM,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-3.14,A,1.0,2.0,3.0,1,0,1,1,True,True,2024-11,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-10,Man United,Leicester,1.38,5.5,6.5,6.31,4.75,Home,MEDIUM,0.9699,0.027,0.0031,unclear,BTTS YES likely,False,False,False,,10,10,1.2,1.0,0.6,0.6,0.4,0.9,walk_forward,2024-11-10,2024-11-10,106,4,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,premier_league_balanced,MEDIUM,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-3.14,H,3.0,0.0,3.0,1,0,1,0,True,False,2024-11,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,early
Premier League,2024,2024-11-10,Nott'm Forest,Newcastle,2.7,3.3,2.7,3.43,3.84,Home,LOW,0.7101,0.2015,0.0884,unclear,unclear,False,False,False,,10,10,1.9,1.5,0.3,0.4,0.5,0.6,walk_forward,2024-11-10,2024-11-10,106,4,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,premier_league_balanced,LOW,Premier League is balanced and competitive. DOUBLE_CHANCE and AVOID are well-supported. Standalone OVER_25 is weak; BTTS_OVER acceptable only with BTTS subtype. BOTH_OVER25_BTTS is unreliable.,,"DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2","OVER_25, BOTH_OVER25_BTTS",OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.72,A,1.0,3.0,4.0,1,0,0,1,,,2024-11,no_clear_fav (>2.5),low (3-5),low (<4),NO_CLEAR_FAVORITE,early
