dim,key,seasons,n,hits,rate,parent_type
league,2. Bundesliga,1.0,176,124,0.7045454545454546,
league,Belgian Pro League,1.0,257,195,0.7587548638132295,
league,Bundesliga,1.0,175,131,0.7485714285714286,
league,Eredivisie,1.0,175,127,0.7257142857142858,
league,La Liga,2.0,492,352,0.7154471544715447,
league,Ligue 1,1.0,192,130,0.6770833333333334,
league,Premier League,1.0,247,178,0.7206477732793523,
league,Serie A,1.0,232,167,0.7198275862068966,
subtype,BOTH_OVER25_BTTS,,383,190,0.4960835509138381,BTTS_OVER
subtype,BTTS,,517,290,0.5609284332688588,BTTS_OVER
subtype,DIRECTION_AWAY,,8,5,0.625,DIRECTION
subtype,DIRECTION_HOME,,49,37,0.7551020408163265,DIRECTION
subtype,DOUBLE_CHANCE_1X,,368,277,0.7527173913043478,DOUBLE_CHANCE
subtype,DOUBLE_CHANCE_X2,,161,124,0.7701863354037267,DOUBLE_CHANCE
subtype,OVER_25,,148,91,0.6148648648648649,BTTS_OVER
subtype,UNDER_35,,52,41,0.7884615384615384,UNDER
lp_strength,HIGH,,853,658,0.7713950762016413,
lp_strength,MEDIUM,,450,307,0.6822222222222222,
lp_strength,LOW,,75,59,0.7866666666666666,
lp_strength,SUPPRESSED,,568,380,0.6690140845070423,
lp_profile,belgium_balanced_goals,,257,195,0.7587548638132295,
lp_profile,unknown_league,,175,131,0.7485714285714286,
lp_profile,eredivisie_goals,,175,127,0.7257142857142858,
lp_profile,premier_league_balanced,,247,178,0.7206477732793523,
lp_profile,serie_a_control,,232,167,0.7198275862068966,
lp_profile,la_liga_control,,492,352,0.7154471544715447,
lp_profile,bundesliga2_goals_volatile,,176,124,0.7045454545454546,
lp_profile,ligue1_cautious,,192,130,0.6770833333333334,
lp_warning,No warning (clean),,1350,1006,0.7451851851851852,
lp_warning,Has warning flag,,596,398,0.6677852348993288,
lp_preferred_match,Subtype IS preferred,,548,417,0.7609489051094891,
lp_preferred_match,Subtype NOT preferred,,1398,987,0.7060085836909872,
lp_suppressed_match,Subtype IS suppressed,,568,380,0.6690140845070423,
lp_suppressed_match,Subtype NOT suppressed,,1378,1024,0.7431059506531205,
lp_bucket,A-Tier,,527,402,0.7628083491461101,
lp_bucket,B-Tier,,345,272,0.7884057971014493,
lp_bucket,C-Tier,,30,23,0.7666666666666667,
lp_bucket,No-Go,,1044,707,0.6772030651340997,
